Date,AAPL,MSFT
2014-08-14,0.00267,0.00431
2014-08-15,0.00492,0.01175
2014-08-18,0.01204,0.00714
2014-08-19,0.01382,0.01115
2014-08-20,0.0004,-0.00838
2014-08-21,0.0001,0.00601
2014-08-22,0.00736,-0.00155
2014-08-25,0.00217,0.00044
2014-08-26,-0.0064,-0.00354
2014-08-27,0.01229,-0.00311
2014-08-28,0.00118,0.00022
2014-08-29,0.00244,0.01225
2014-09-02,0.0078,-0.00748
2014-09-03,-0.04221,-0.00288
2014-09-04,-0.00829,0.00667
2014-09-05,0.00866,0.01436
2014-09-08,-0.00616,0.0122
2014-09-09,-0.00376,0.00624
2014-09-10,0.03072,0.00171
2014-09-11,0.00426,0.00342
2014-09-12,0.00227,-0.00638
2014-09-15,-0.0003,-0.00985
2014-09-16,-0.00758,0.01125
2014-09-17,0.00714,-0.00513
2014-09-18,0.00207,0.00344
2014-09-19,-0.00815,0.01799
2014-09-22,0.00099,-0.00968
2014-09-23,0.01563,-0.01062
2014-09-24,-0.00867,0.01117
2014-09-25,-0.03813,-0.02209
2014-09-26,0.02943,0.00804
2014-09-29,-0.00635,0.00065
2014-09-30,0.00639,-0.00172
2014-10-01,-0.01558,-0.00992
2014-10-02,0.00726,-0.00305
2014-10-03,-0.0028,0.00721
2014-10-06,0,0
2014-10-07,-0.00873,-0.01215
2014-10-08,0.02076,0.02745
2014-10-09,0.00218,-0.01988
2014-10-10,-0.00287,-0.03969
2014-10-13,-0.00913,-0.00863
2014-10-14,-0.01062,0.00183
2014-10-15,-0.01225,-0.01166
2014-10-16,-0.01312,-0.01111
2014-10-17,0.01465,0.02082
2014-10-20,0.0214,0.01031
2014-10-21,0.02717,0.01815
2014-10-22,0.00507,-0.01114
2014-10-23,0.01787,0.01442
2014-10-24,0.00372,0.02466
2014-10-27,-0.00105,-0.00477
2014-10-28,0.01551,0.01263
2014-10-29,0.00562,0.0028
2014-10-30,-0.00335,-0.01223
2014-10-31,0.00953,0.01954
2014-11-03,0.01296,0.01044
2014-11-04,-0.00731,0.00274
2014-11-05,0.00239,0.0061
2014-11-06,0.00286,0.01755
2014-11-07,0.00285,-0.00041
2014-11-10,-0.00165,0.00431
2014-11-11,0.00799,-0.00041
2014-11-12,0.01413,-0.00184
2014-11-13,0.01411,0.01702
2014-11-14,0.01205,-0.0006
2014-11-17,-0.00166,-0.00242
2014-11-18,0.01298,-0.00834
2014-11-19,-0.00693,-0.01067
2014-11-20,0.0143,0.00995
2014-11-21,0.00138,-0.01478
2014-11-24,0.01855,-0.00813
2014-11-25,-0.00868,-0.00252
2014-11-26,0.0119,0.0059
2014-11-28,-0.00059,0.00126
2014-12-01,-0.03246,0.01694
2014-12-02,-0.00382,-0.00329
2014-12-03,0.01134,-0.00784
2014-12-04,-0.0038,0.01581
2014-12-05,-0.00424,-0.0086
2014-12-08,-0.02261,-0.01487
2014-12-09,0.0153,-0.00231
2014-12-10,-0.01902,-0.0145
2014-12-11,-0.00295,0.00576
2014-12-12,-0.01693,-0.00466
2014-12-15,-0.01367,-0.00596
2014-12-16,-0.01367,-0.03235
2014-12-17,0.02492,0.01284
2014-12-18,0.02961,0.03892
2014-12-19,-0.00772,0.00295
2014-12-22,0.01038,0.00671
2014-12-23,-0.00354,0.0098
2014-12-24,-0.00471,-0.0064
2014-12-26,0.01768,-0.0054
2014-12-29,-0.0007,-0.00898
2014-12-30,-0.0122,-0.00906
2014-12-31,-0.01902,-0.01212
